O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
25-9031.00,Instructional Coordinators,0.681,0.6553,0.028565418407395654,-0.025700000000000056,0.6553,0.028565418407395654,-0.025700000000000056,25-9031
11-3031.01,Treasurers and Controllers,0.6806,0.6674,0.018277096990530595,-0.01319999999999999,0.6674,0.018277096990530595,-0.01319999999999999,11-3031
11-9161.00,Emergency Management Directors,0.6803,0.6438,0.040598932874112724,-0.03649999999999998,0.6438,0.040598932874112724,-0.03649999999999998,11-9161
25-1123.00,"English Language and Literature Teachers, Postsecondary",0.6802,0.6802,0.0,0.0,0.6802,0.0,0.0,25-1123
13-2099.04,"Fraud Examiners, Investigators and Analysts",0.6802,0.6802,0.0,0.0,0.677,0.021086590608271526,-0.0031999999999999806,13-2099
43-4151.00,Order Clerks,0.6802,0.6802,0.0,0.0,0.6802,0.0,0.0,43-4151
11-2033.00,Fundraising Managers,0.6801,0.6686,0.024652641834027673,-0.011500000000000066,0.6686,0.024652641834027673,-0.011500000000000066,11-2033
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",0.6794,0.6794,0.0,0.0,0.6794,0.0,0.0,25-1061
27-3023.00,"News Analysts, Reporters, and Journalists",0.6793,0.6793,0.0,0.0,0.6472,0.07916106316168033,-0.03210000000000002,27-3023
19-2099.01,Remote Sensing Scientists and Technologists,0.6791,0.6573,0.03354177483802515,-0.02180000000000004,0.6476,0.14784296904982278,-0.031500000000000083,19-2099
13-1071.00,Human Resources Specialists,0.6787,0.6787,0.0,0.0,0.6787,0.0,0.0,13-1071
25-1011.00,"Business Teachers, Postsecondary",0.6783,0.6783,0.0,0.0,0.6783,0.0,0.0,25-1011
25-1071.00,"Health Specialties Teachers, Postsecondary",0.6782,0.6782,0.0,0.0,0.6782,0.0,0.0,25-1071
27-4032.00,Film and Video Editors,0.6782,0.5913,0.11312185545057324,-0.08689999999999998,0.5781,0.15087062125193618,-0.10010000000000008,27-4032
19-2041.02,Environmental Restoration Planners,0.6777,0.6391,0.042816827272157174,-0.03859999999999997,0.6153,0.0930939839249212,-0.06240000000000001,19-2041
25-1064.00,"Geography Teachers, Postsecondary",0.6773,0.6773,0.0,0.0,0.6773,0.0,0.0,25-1064
43-4141.00,New Accounts Clerks,0.6772,0.6772,0.0,0.0,0.6706,0.016599470230156045,-0.00660000000000005,43-4141
17-2141.01,Fuel Cell Engineers,0.6762,0.6579,0.028130295810622204,-0.018299999999999983,0.6518,0.06881229188823659,-0.024399999999999977,17-2141
13-1151.00,Training and Development Specialists,0.6762,0.6762,0.0,0.0,0.6762,0.0,0.0,13-1151
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",0.6762,0.6762,0.0,0.0,0.6762,0.0,0.0,25-1043
13-2022.00,Appraisers of Personal and Business Property,0.6756,0.6756,0.0,0.0,0.6756,0.0,0.0,13-2022
15-1299.05,Information Security Engineers,0.6755,0.6351,0.05213340233372788,-0.04039999999999999,0.6351,0.05213340233372788,-0.04039999999999999,15-1299
